Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Price
Volkswagen,Golf,2000,4,Hybrid,Manual,237232,4,5,4355
Ford,Fiesta,2002,4,Hybrid,Semi-Automatic,272351,3,3,4252
Kia,Optima,2008,4.6,Petrol,Manual,164879,2,4,7802
Hyundai,Tucson,2018,2.8,Petrol,Manual,160349,4,3,9093
Hyundai,Elantra,2007,1.5,Diesel,Manual,30793,5,1,7084
BMW,3 Series,2019,1.9,Electric,Automatic,6745,2,1,15065
Toyota,Camry,2007,4.9,Hybrid,Manual,23217,2,4,11635
Kia,Sportage,2017,2.7,Hybrid,Automatic,242456,2,5,9550
Hyundai,Sonata,2017,1.3,Hybrid,Automatic,152123,5,5,9957
Honda,CR-V,2022,3.4,Diesel,Automatic,248894,5,2,10622
Mercedes,GLA,2007,2.3,Electric,Manual,76458,3,5,8970
BMW,X5,2017,3.9,Hybrid,Semi-Automatic,2020,3,2,14059
Hyundai,Sonata,2018,2,Hybrid,Automatic,121567,4,4,11568
Volkswagen,Golf,2023,3.5,Petrol,Semi-Automatic,139477,2,5,11710
Ford,Fiesta,2007,4.5,Electric,Manual,53088,3,2,11638
Volkswagen,Tiguan,2020,1.7,Petrol,Automatic,195565,2,5,9388
Audi,A4,2004,4.8,Hybrid,Semi-Automatic,141850,3,2,8263
Honda,Civic,2020,4.6,Petrol,Manual,191397,3,4,10872
Hyundai,Tucson,2015,1.6,Electric,Manual,259533,2,4,7009
Mercedes,C-Class,2015,4.1,Petrol,Automatic,197249,3,1,10255
Volkswagen,Passat,2007,3.8,Electric,Manual,272609,4,5,6547
Ford,Focus,2013,1.1,Diesel,Manual,294516,4,1,3209
Kia,Sportage,2001,2.9,Diesel,Manual,258813,4,5,2123
Toyota,Corolla,2014,4.1,Petrol,Automatic,17100,5,5,13558
Kia,Optima,2017,4.6,Diesel,Manual,197307,3,1,9853
BMW,X5,2007,4.2,Petrol,Automatic,129851,3,4,9302
Mercedes,E-Class,2011,1.8,Diesel,Semi-Automatic,261247,3,4,3975
Audi,Q5,2016,2.5,Electric,Semi-Automatic,121855,5,5,10962
BMW,3 Series,2011,2.6,Petrol,Manual,107928,4,2,7841
Volkswagen,Passat,2011,4.7,Petrol,Automatic,203960,5,3,9520
